| ABSTR_RAW                      | ABSTR_TOK                      | ABSTR_UPPER                    | AFFIL                                                                            | AR       | ASJC                           | AUTHID                                                                           | AUTHKW_NORM                    | AUTHKW_RAW                     | AUTHKW_TOK                     | AUTH_FIRST       | AUTH_FULL_NAME                 | AUTH_NORM                      | AUTH_RAW                       | AUTH_WITH_AFFIL                                                                  | C3                             |   CA | CL              | CONCEPT_NORM                   | CONCEPT_RAW                    | CORRESPOND_ADDR                | CT                             | CTRY                           | CTRY_FIRST   | CTRY_ISO3          | CTRY_ISO3_FIRST   | CY              | DA         | DATABASE   | DATE       | DESCRIPTOR_NORM                | DESCRIPTOR_RAW                 | DOCTYPE                    | DOI                            | EA       | EID                 | EMAIL                          | FUND_DET                       | FUND_TXT                       | GA    | GCR_WOS_FORMAT                 |   GCS |   HC |   HO |   HP | IDXKW_NORM                     | IDXKW_RAW                      | IDXKW_TOK                      | ISSN      | ISSNE     | ISSUE   | KW_NORM                        | KW_TOK                         | LANG       | LCR_WOS_FORMAT                 |   LCS | NP_ABSTR_RAW                   | NP_RAW                         | NP_SPACY                       | NP_TEXTBLOB                    | NP_TITLE_RAW                   |   N_AUTH |   N_GCR |   N_LCR | OA                             | ORCID                                                                            | ORG                                                                              | ORG_FIRST                   |   PG_COUNT |   PG_FIRST |   PG_LAST |            PM | PN   | PUBLISHER                      | PUBLISHER_ADDRESS              | PUBLISHER_CITY   | PUBTYPE   | REC_ID                                             |   REC_NO | REC_SHORT_NAME        | REGION                |   SI | SP                    | SRC                            | SRC_ISO4                       | SRC_J9               |   SU | SUBREGION                      | TITLE_RAW                      | TITLE_TOK                      | TITLE_UPPER                    |   VOL | WE                             | WORD_NORM                      | WORD_RAW                       | WOS_SC                         |   WOS_U1 |   WOS_U2 |   WOS_Z9 |   YEAR |
| This paper presents a computer | this paper presents a computer | this_paper_presents A_COMPUTER | Univ Putra Malaysia, Inst Agr & Food Policy Studies, Upm Serdang 43400, Selangor | nan      | Ecology                        | Kamal, Rowshon/AAD-7952-2020                                                     | hilsa fish; population dynamic | hilsa fish; population dynamic | hilsa fish; population dynamic | Bala BK          | B. K. Bala; Fatimah M. Arshad; | Bala BK; Arshad FM; Alias EF;  | Bala BK; Arshad FM; Alias EF;  | [Bala, B. K.; Arshad, Fatimah M.; Alias, E. F.; Sidique, S. F.; Noh, K. M.] Univ | Universiti Putra Malaysia; Uni |  nan | nan             | a computer model; a short peri | a computer model; a short peri | Bala, BK (corresponding author | nan                            | Bangladesh; Malaysia           | Malaysia     | BGD; MYS           | MYS               | nan             | 2026-04-19 | WoS        | JUL 10     | a computer model; a short peri | a computer model; a short peri | Article                    | 10.1016/j.ecolmodel.2014.03.01 | nan      | WOS:000336704000003 | bkbalabau@yahoo.com            | nan                            | nan                            | AI2QV | Amin N., 2000, Asian Fish Sci. |    14 |  nan |  nan |  nan | system dynamics optimization;  | system dynamics optimization;  | system dynamics optimization;  | 0304-3800 | 1872-7026 | nan     | harvesting strategies; hilsa f | harvesting strategies; hilsa f | English    | nan                            |     0 | a computer model; hilsa fish;  | a computer model; a short peri | a computer model; a short peri | adult hilsa; causal loop; comp | sustainable exploitation; hils |        8 |      44 |     nan | nan                            | Kamal, Rowshon/0000-0002-8389-3363; Sidique, Shaufique/0000-0002-7545-2816       | BANGLADESH AGR UNIV; UNIV PUTRA MALAYS                                           | UNIV PUTRA MALAYS           |         12 |         19 |        30 | nan           | nan  | ELSEVIER SCIENCE BV            | PO BOX 211, 1000 AE AMSTERDAM, | AMSTERDAM        | J         | Bala BK, 2014, ECOL MODEL, V283, P19, DOI 10.1016/ |       10 | Bala BK 2014          | Asia                  |  nan | nan                   | ECOLOGICAL MODELLING           | ECOL MODEL                     | ECOL MODEL           |  nan | South-Eastern Asia; Southern A | Sustainable exploitation of hi | sustainable exploitation of hi | SUSTAINABLE_EXPLOITATION of HI |   283 | Science Citation Index Expande | adult; adults; bangladesh; cap | adult; adults; bangladesh; cap | Environmental Sciences & Ecolo |        0 |       48 |       17 |   2014 |
| CONTEXT: Increasing rubber pri | context : increasing rubber pr | context : INCREASING_RUBBER_PR | Univ Queensland, Sch Agr & Food Sci, Gatton 4343, Australia; Malaysian Rubber Bo | 103491   | Agriculture, Multidisciplinary | Aziz, Ammar/C-6031-2016; Ali, Muhammad/AAT-6083-2021                             | agricultural production causal | agricultural production causal | agricultural production causal | Ali MF           | Muhammad Fadzli Ali; Siti Hawa | Ali MF; Sulong SH; Julius K; S | Ali MF; Sulong SH; Julius K; S | [Ali, Muhammad Fadzli; Julius, Kotir; Aziz, Ammar Abdul] Univ Queensland, Sch Ag | University of Queensland; Mala |  nan | nan             | a participatory system dynamic | a participatory system dynamic | Ali, MF (corresponding author) | nan                            | Australia; Malaysia            | Australia    | AUS; MYS           | AUS               | nan             | 2026-04-19 | WoS        | OCT        | a participatory system dynamic | a participatory system dynamic | Article                    | 10.1016/j.agsy.2022.103491     | SEP 2022 | WOS:000856084700001 | fadzli.ali@uq.net.au           | Malaysian Rubber Board         | The authors wish to thank the  | 4Q4WO | Abd Razak S.B., 2016, PROCEEDI |     7 |  nan |  nan |  nan | hevea-brasiliensis; water reso | hevea-brasiliensis; water-reso | hevea-brasiliensis; water reso | 0308-521X | 1873-2267 | nan     | agricultural production causal | agricultural production causal | English    | nan                            |     0 | increasing rubber price volati | a participatory system dynamic | a 30_year period; a participat | 30_year period; abandon rubber | a participatory system dynamic |        5 |     109 |     nan | nan                            | Kotir, Julius H/0000-0001-8536-9146                                              | UNIV QUEENSL; [UNKNOWN]                                                          | UNIV QUEENSL                |         23 |        nan |       nan | nan           | nan  | ELSEVIER SCI LTD               | THE BOULEVARD, LANGFORD LANE,  | OXFORD           | J         | Ali MF, 2022, AGRIC SYST, V202, DOI 10.1016/j.agsy |       11 | Ali MF 2022           | Asia; Oceania         |  nan | nan                   | AGRICULTURAL SYSTEMS           | AGRIC SYST                     | AGR SYST             |  nan | Australia and New Zealand; Sou | Using a participatory system d | using a participatory system d | using A_PARTICIPATORY_SYSTEM_D |   202 | Science Citation Index Expande | additional; agencies; agents;  | additional; agencies; agents;  | Agriculture                    |        3 |       21 |        8 |   2022 |
| Haze is a pollution phenomenon | haze is a pollution phenomenon | HAZE is A_POLLUTION_PHENOMENON | Beijing Normal Univ, Fac Geog Sci, Sch Nat Resources, Beijing, Peoples R China   | 1400717  | Environmental Sciences         | nan                                                                              | system dynamics model; combina | system dynamics model; combina | system dynamics model; combina | Lv FR            | Furong Lv; Yunjing Lu; Haiping | Lv FR; Lu YJ; Tang HP          | Lv FR; Lu YJ; Tang HP          | [Lv, Furong; Lu, Yunjing; Tang, Haiping] Beijing Normal Univ, Fac Geog Sci, Sch  | Beijing Normal University      |  nan | nan             | a case study; a combination po | a case study; a combination po | Tang, HP (corresponding author | nan                            | China                          | China        | CHN                | CHN               | nan             | 2026-04-19 | WoS        | JUN 11     | a case study; a combination po | a case study; a combination po | Article                    | 10.3389/fenvs.2024.1400717     | nan      | WOS:001253430400001 | tanghp@bnu.edu.cn              | Second Tibetan Plateau Scienti | The author(s) declare that fin | WF4A5 | Anderies JM, 2015, B MATH BIOL |     2 |  nan |  nan |  nan | air pollution; influential fac | air-pollution; influential fac | air pollution; influential fac | nan       | 2296-665X | nan     | air pollution; china; combinat | air pollution; china; combinat | English    | Jia SW, 2019, ENERG POLICY, V1 |     0 | haze; a pollution phenomenon;  | a case study; a combination po | a combination policy; a dynami | air quality; beijing_tianjin_h | the effect; haze management; s |        3 |      68 |       1 | Green Submitted, gold          | lv, furong/0000-0002-1791-9879                                                   | BEIJING NORM UNIV                                                                | BEIJING NORM UNIV           |         14 |        nan |       nan | nan           | nan  | FRONTIERS MEDIA SA             | AVENUE DU TRIBUNAL FEDERAL 34, | LAUSANNE         | J         | Lv FR, 2024, ENV SCI, V12, DOI 10.3389/fenvs.2024. |       12 | Lv FR 2024            | Asia                  |  nan | nan                   | FRONTIERS IN ENVIRONMENTAL SCI | ENV SCI                        | FRONT ENV SCI-SWITZ  |  nan | Eastern Asia                   | Simulating the effect of haze  | simulating the effect of haze  | simulating THE_EFFECT of HAZE_ |    12 | Science Citation Index Expande | activities; air; approach; bei | activities; air; approach; bei | Environmental Sciences & Ecolo |        5 |       34 |        2 |   2024 |
| The process of planning and ev | the process of planning and ev | THE_PROCESS of PLANNING and EV | IHE Delft, Inst Water Educ, Land & Water Management Dept, POB 3015, NL-2601 DA D | nan      | Green & Sustainable Science &  | ; Susnik, Janez/T-6303-2017; de Fraiture, Charlotte/E-3458-2012                  | system dynamics; water-energy- | system dynamics; water-energy- | system dynamics; water-energy- | Purwanto A       | Aries Purwanto; Janez Susnik;  | Purwanto A; Susnik J; Suryadi  | Purwanto A; Susnik J; Suryadi  | [Purwanto, Aries; Susnik, Janez; Suryadi, F. X.; de Fraiture, Charlotte] IHE Del | IHE Delft Institute for Water  |  nan | nan             | a holistic manner; a local con | a holistic manner; a local con | Purwanto, A (corresponding aut | nan                            | Netherlands                    | Netherlands  | NLD                | NLD               | nan             | 2026-04-19 | WoS        | JAN        | a holistic manner; a local con | a holistic manner; a local con | Article                    | 10.1016/j.spc.2020.08.009      | nan      | WOS:000608159500015 | a.purwanto@un-ihe.org          | LPDP (Indonesia Endowment Fund | Y AP gratefully acknowledges L | PS8FJ | [Anonymous], 2015, Energy and  |    61 |  nan |  nan |  nan | system dynamics approach; mana | system dynamics approach; mana | system dynamics approach; mana | 2352-5509 | nan       | nan     | evaluation and planning; indon | evaluation and planning; indon | English    | nan                            |     2 | the process; planning; evaluat | a holistic manner; a local con | a holistic manner; a local con | agricultural land conversion r | quantitative simulation; secur |        4 |      44 |     nan | nan                            | Purwanto, Aries/0000-0003-1386-7124;                                             | WAGENING UNIV & RES WUR; [UNKNOWN]                                               | [UNKNOWN]                   |         19 |        198 |       216 | nan           | nan  | ELSEVIER                       | RADARWEG 29, 1043 NX AMSTERDAM | AMSTERDAM        | J         | Purwanto A, 2021, SUSTAIN PROD CONSUMP, V25, P198, |       13 | Purwanto A 2021       | Europe                |  nan | nan                   | SUSTAINABLE PRODUCTION AND CON | SUSTAIN PROD CONSUM            | SUSTAIN PROD CONSUMP |  nan | Western Europe                 | Quantitative simulation of the | quantitative simulation of the | QUANTITATIVE_SIMULATION of the |    25 | Science Citation Index Expande | agricultural; analysis; approa | agricultural; analysis; approa | Science & Technology - Other T |        3 |       89 |       70 |   2021 |
| The fundamental requirements o | the fundamental requirements o | THE_FUNDAMENTAL_REQUIREMENTS o | Jadavpur Univ, Environm Engn Div, Dept Civil Engn, Kolkata 700032, India; Jessor | nan      | Green & Sustainable Science &  | Chatterjee, Debasish/N-2943-2019                                                 | system dynamics; simulation; e | system dynamics; simulation; e | system dynamics; simulation; e | Dasgupta D       | Dipsikha Dasgupta; Anupam Debs | Dasgupta D; Debsarkar A; Hazra | Dasgupta D; Debsarkar A; Hazra | [Dasgupta, Dipsikha; Debsarkar, Anupam; Hazra, Tumpa] Jadavpur Univ, Environm En | Jadavpur University; Kalyani U |  nan | nan             | a decade; a simulation exercis | a decade; a simulation exercis | Debsarkar, A (corresponding au | nan                            | Bangladesh; India              | India        | BGD; IND           | IND               | nan             | 2026-04-19 | WoS        | AUG        | a decade; a simulation exercis | a decade; a simulation exercis | Article                    | 10.1007/s10668-016-9815-6      | nan      | WOS:000405613200021 | anupamju1972@gmail.com         | nan                            | nan                            | FA7GK | Anand S, 2005, ENVIRON INT, V3 |    38 |  nan |  nan |  nan | electronic waste; management;  | electronic waste; management;  | electronic waste; management;  | 1387-585X | 1573-2975 | 4       | contamination; e-waste generat | contamination; e-waste generat | English    | nan                            |     2 | the fundamental requirements;  | a decade; a simulation exercis | a decade; a system dynamics ap | base year; different disposal  | scenario; future e waste; gene |        6 |      42 |     nan | nan                            | nan                                                                              | JADAVPUR UNIV; JESSORE UNIV SCI & TECHNOL; UNIV KALYANI; [UNKNOWN]               | JADAVPUR UNIV               |         15 |       1473 |      1487 | nan           | nan  | SPRINGER                       | VAN GODEWIJCKSTRAAT 30, 3311 G | DORDRECHT        | J         | Dasgupta D, 2017, ENVIRON DEV SUSTAIN, V19, P1473, |       14 | Dasgupta D 2017       | Asia                  |  nan | nan                   | ENVIRONMENT DEVELOPMENT AND SU | ENV DEV SUSTAIN                | ENVIRON DEV SUSTAIN  |  nan | Southern Asia                  | Scenario of future e-waste gen | scenario of future e_waste gen | SCENARIO of FUTURE_E_WASTE GEN |    19 | Science Citation Index Expande | analysis; appliances; approach | analysis; appliances; approach | Science & Technology - Other T |        2 |       73 |       44 |   2017 |
| The worldwide economic shock c | the worldwide economic shock c | THE_WORLDWIDE_ECONOMIC_SHOCK c | Banaras Hindu Univ, Indian Inst Technol, Dept Mech Engn, Varanasi, India         | 100090   | Energy & Fuels; Engineering, P | nan                                                                              | oil and gas industry; resilien | oil and gas industry; resilien | oil and gas industry; resilien | Raj A            | Ayush Raj; Bhupendra Sunil Mal | Raj A; Mali BS; Kumar B; Sen S | Raj A; Mali BS; Kumar B; Sen S | [Raj, Ayush; Mali, Bhupendra Sunil; Kumar, Bhuvnesh; Sen Singh, Chandra; Nainawa | Banaras Hindu University (BHU) |  nan | nan             | a case study; a drastic fall;  | a case study; a drastic fall;  | Mali, BS (corresponding author | nan                            | India                          | India        | IND                | IND               | nan             | 2026-04-19 | WoS        | SEP        | a case study; a drastic fall;  | a case study; a drastic fall;  | Article                    | 10.1016/j.upstre.2023.100090   | JUN 2023 | WOS:001035655700001 | bhupendra.sunilmali.mec17@itbh | nan                            | nan                            | N2VQ1 | [Anonymous], REF ART WIK; [Ano |     3 |  nan |  nan |  nan | products                       | products                       | products                       | 2666-2604 | nan       | nan     | covid-19 pandemic; oil and gas | covid-19 pandemic; oil and gas | English    | nan                            |     1 | the worldwide economic shock;  | a case study; a drastic fall;  | a case; a drastic fall; a mode | case study; comparative study; | system dynamics approach; the  |        5 |      47 |     nan | Green Submitted, hybrid        | nan                                                                              | BANARAS HINDU UNIV                                                               | BANARAS HINDU UNIV          |         13 |        nan |       nan | nan           | nan  | ELSEVIER                       | RADARWEG 29, 1043 NX AMSTERDAM | AMSTERDAM        | J         | Raj A, 2023, UPSTREAM OIL GAS TEC, V11, DOI 10.101 |       15 | Raj A 2023            | Asia                  |  nan | nan                   | UPSTREAM OIL AND GAS TECHNOLOG | UPSTREAM OIL GAS TECHNOL       | UPSTREAM OIL GAS TEC |  nan | Southern Asia                  | System Dynamics Approach to Ev | system dynamics approach to ev | SYSTEM_DYNAMICS_APPROACH to ev |    11 | Emerging Sources Citation Inde | adjustment; affected; approach | adjustment; affected; approach | Energy & Fuels; Engineering    |        0 |       15 |        3 |   2023 |
| BackgroundChina is currently a | backgroundchina is currently a | BACKGROUNDCHINA is currently a | Jiangxi Univ Finance & Econ, Sch Stat & Data Sci, Nanchang, Peoples R China; Hei | 1655     | Health Care Sciences & Service | nan                                                                              | total health expenditure; syst | total health expenditure; syst | total health expenditure; syst | Luo SH           | Shihua Luo; Junlai Zhang; Mark | Luo SH; Zhang JL; Heffernan M  | Luo SH; Zhang JL; Heffernan M  | [Luo, Shihua; Zhang, Junlai] Jiangxi Univ Finance & Econ, Sch Stat & Data Sci, N | Jiangxi University of Finance  |  nan | nan             | a decrease; a rise; a robust c | a decrease; a rise; a robust c | Luo, SH; Zhang, JL (correspond | nan                            | Australia; Austria; China; Ger | China        | AUS; AUT; CHN; DEU | CHN               | nan             | 2026-04-19 | WoS        | DEC 27     | a decrease; a rise; a robust c | a decrease; a rise; a robust c | Article                    | 10.1186/s12913-024-12113-6     | nan      | WOS:001385152000001 | luoshihua@aliyun.com; junlai.z | Shihua Luo [21ZD152]; Major Pr | Acknowledgments We would like  | Q5N7Y | Abeliansky AL, 2020, INT LABOU |     2 |  nan |  nan |  nan | life                           | life                           | life                           | nan       | 1472-6963 | 1       | china gdp forecast; efficiency | china gdp forecast; efficiency | English    | nan                            |     0 | backgroundchina; a turning poi | a decrease; a rise; a robust c | a decrease; a rise; a robust c | alleviate population decline;  | forecast; total health expendi |        3 |      58 |     nan | Green Submitted, gold          | Zhang, Junlai/0000-0001-6151-6148                                                | HEIDELB UNIV; JIANGXI UNIV FINANC & ECON; UNIV HOSP; VIENNA UNIV ECON & BUS WU;  | JIANGXI UNIV FINANC & ECON  |         15 |        nan |       nan |   3.97312e+07 | nan  | BMC                            | CAMPUS, 4 CRINAN ST, LONDON N1 | LONDON           | J         | Luo SH, 2024, BMC HEAL SERV RES, V24, DOI 10.1186/ |       16 | Luo SH 2024           | Asia; Europe; Oceania |  nan | nan                   | BMC HEALTH SERVICES RESEARCH   | BMC HEAL SERV RES              | BMC HEALTH SERV RES  |  nan | Australia and New Zealand; Eas | Forecast of total health expen | forecast of total health expen | FORECAST of TOTAL_HEALTH_EXPEN |    24 | Science Citation Index Expande | ability; aging; alleviate; ana | ability; aging; alleviate; ana | Health Care Sciences & Service |        7 |       18 |        3 |   2024 |
| This article was inspired by t | this article was inspired by t | this_article_was inspired by T | Univ Agr, Dept Agr Econ & Org, Inst Econ & Social Sci, PL-31120 Krakow, Poland   | nan      | Environmental Sciences         | Dacko, Mariusz/GRR-1701-2022                                                     | systems dynamics; sustainable  | systems dynamics; sustainable  | systems dynamics; sustainable  | Dacko M          | Mariusz Dacko                  | Dacko M                        | Dacko M                        | Univ Agr, Dept Agr Econ & Org, Inst Econ & Social Sci, PL-31120 Krakow, Poland.  | University of Agriculture in K |  nan | nan             | a common concept; a study; a t | a common concept; a study; a t | Dacko, M (corresponding author | nan                            | Poland                         | Poland       | POL                | POL               | nan             | 2026-04-19 | WoS        | nan        | a common concept; a study; a t | a common concept; a study; a t | Article                    | nan                            | nan      | WOS:000281240500004 | mdacko@ar.krakow.pl            | nan                            | nan                            | 642TG | [Anonymous], BEYOND THE LIMITS |     5 |  nan |  nan |  nan | nan                            | nan                            | nan                            | 1230-1485 | nan       | 4       | management of the environment; | management of the environment; | English    | nan                            |     0 | the predator prey relationship | a common concept; a study; a t | a common concept; a study; a t | common concept; cyclical growt | systems dynamics; modeling; ma |        1 |      21 |     nan | nan                            | Dacko, Mariusz/0000-0001-8424-4720                                               | UNIV AGR                                                                         | UNIV AGR                    |          8 |        699 |       706 | nan           | nan  | HARD                           | POST-OFFICE BOX, 10-718 OLSZTY | OLSZTYN 5        | J         | Dacko M, 2010, POL J ENV STUD, V19, P699           |       17 | Dacko M 2010          | Europe                |  nan | nan                   | POLISH JOURNAL OF ENVIRONMENTA | POL J ENV STUD                 | POL J ENVIRON STUD   |  nan | Eastern Europe                 | Systems Dynamics in Modeling S | systems dynamics in modeling s | SYSTEMS_DYNAMICS in MODELING s |    19 | Science Citation Index Expande | basis; benefits; change; conce | basis; benefits; change; conce | Environmental Sciences & Ecolo |        1 |       18 |        8 |   2010 |
| Low-Income Housing (LIH) proje | low_income housing ( lih ) pro | LOW_INCOME_HOUSING_PROJECTS ha | Cairo Univ, Fac Engn, Dept Struct Engn, Construct Engn & Management, Giza 12613, | nan      | Construction & Building Techno | Marzouk, Mohamed/AAA-2717-2021                                                   | low-income housing ( lih ); sy | low-income housing (lih); syst | low-income housing ( lih ); sy | Marzouk M        | Mohamed Marzouk; Shimaa Azab   | Marzouk M; Azab S              | Marzouk M; Azab S              | [Marzouk, Mohamed] Cairo Univ, Fac Engn, Dept Struct Engn, Construct Engn & Mana | Egyptian Knowledge Bank (EKB); |  nan | nan             | a detailed case study; a large | a detailed case study; a large | Marzouk, M (corresponding auth | nan                            | Egypt                          | Egypt        | EGY                | EGY               | nan             | 2026-04-19 | WoS        | JAN 1      | a detailed case study; a large | a detailed case study; a large | Article                    | 10.1016/j.enbuild.2016.10.034  | nan      | WOS:000390624800013 | mm_marzouk@yahoo.com; eng_sh.a | STDF (the Science & Technology | This research was financially  | EF9BD | Arcila S. M, 2012, THESIS; Bea |    15 |  nan |  nan |  nan | earthmoving operations; materi | earthmoving operations; materi | earthmoving operations; materi | 0378-7788 | 1872-6178 | nan     | construction; earthmoving oper | construction; earthmoving oper | English    | Marzouk M, 2014, RESOUR CONSER |     0 | low income housing projects; a | a detailed case study; a large | a detailed case study; a large | aids government; assessment me | sustainability; low income hou |        2 |      40 |       2 | nan                            | nan                                                                              | CAIRO UNIV; [UNKNOWN]                                                            | CAIRO UNIV                  |         11 |        143 |       153 | nan           | nan  | ELSEVIER SCIENCE SA            | PO BOX 564, 1001 LAUSANNE, SWI | LAUSANNE         | J         | Marzouk M, 2017, ENERGY BUILD, V134, P143, DOI 10. |       18 | Marzouk M 2017        | Africa                |  nan | nan                   | ENERGY AND BUILDINGS           | ENERGY BUILD                   | ENERG BUILDINGS      |  nan | Northern Africa                | Analyzing sustainability in lo | analyzing sustainability in lo | analyzing SUSTAINABILITY in LO |   134 | Science Citation Index Expande | aids; aspect; aspects; assessm | aids; aspect; aspects; assessm | Construction & Building Techno |        1 |       84 |       17 |   2017 |
| Kaohsiung is the largest port  | kaohsiung is the largest port  | KAOHSIUNG is THE_LARGEST_PORT_ | Natl Sun Yat Sen Univ, Dept Marine Environm & Engn, 70 Lienhai Rd, Kaohsiung 804 | nan      | Oceanography; Water Resources  | ; Chang, Yang-Chi/M-8849-2016; Château, Pierre-Alexandre/K-5256-2019             | decision support system ( dss  | decision support system (dss); | decision support system ( dss  | Tan WJ           | Wen-Jui Tan; Chen-Feng Yang; P | Tan WJ; Yang CF; Château PA; L | Tan WJ; Yang CF; Château PA; L | [Tan, Wen-Jui; Yang, Chen-Feng; Chang, Yang-Chi] Natl Sun Yat Sen Univ, Dept Mar | National Sun Yat Sen Universit |  nan | nan             | a case study; a decision suppo | a case study; a decision suppo | Chang, YC (corresponding autho | nan                            | Taiwan                         | Taiwan       | TWN                | TWN               | nan             | 2026-04-19 | WoS        | MAR 1      | a case study; a decision suppo | a case study; a decision suppo | Article                    | 10.1016/j.ocecoaman.2017.12.01 | nan      | WOS:000424073400014 | changyc@mail.nsysu.edu.tw      | Water Resources Agency of the  | The authors gratefully acknowl | FU8AE | Alyami SH, 2013, RENEW SUST EN |    64 |  nan |  nan |  nan | information-systems; delphi; i | information-systems; delphi; i | information-systems; delphi; i | 0964-5691 | 1873-524X | nan     | decision support system ( dss  | decision support system ( dss  | English    | nan                            |     0 | kaohsiung; the largest port ci | a case study; a decision suppo | a case study; a decision suppo | abundant recreational resource | coastal zone management; susta |        5 |      55 |     nan | nan                            | Lee, Meng-Tsung/0000-0003-3542-9731; Chang, Yang-Chi/0000-0002-1088-9427; Châtea | CHUNG HWA UNIV MED TECHNOL; NATL KAOHSIUNG MAR UNIV; NATL SUN YAT SEN UNIV; [UNK | NATL SUN YAT SEN UNIV       |          9 |        131 |       139 | nan           | nan  | ELSEVIER SCI LTD               | THE BOULEVARD, LANGFORD LANE,  | OXFORD           | J         | Tan WJ, 2018, OCEAN COAST MANAG, V153, P131, DOI 1 |       19 | Tan WJ 2018           | Asia                  |  nan | nan                   | OCEAN & COASTAL MANAGEMENT     | OCEAN COAST MANAG              | OCEAN COAST MANAGE   |  nan | Eastern Asia                   | Integrated coastal-zone manage | integrated coastal_zone manage | integrated COASTAL_ZONE_MANAGE |   153 | Science Citation Index Expande | abundant; accessibility; analy | abundant; accessibility; analy | Oceanography; Water Resources  |        2 |       98 |       71 |   2018 |
| For a research project into th | for a research project into th | for A_RESEARCH_PROJECT into TH | Edith Cowan Univ, Perth, WA, Australia; Edith Cowan Univ, Cisco Network Acad Pro | nan      | Computer Science, Information  | nan                                                                              | system dynamics; java; ithink; | system dynamics; java; ithink; | system dynamics; java; ithink; | Caulfield C      | C. Caulfield; D. Veal; S. P. M | Caulfield C; Veal D; Maj SP    | Caulfield C; Veal D; Maj SP    | [Caulfield, C.; Veal, D.; Maj, S. P.] Edith Cowan Univ, Perth, WA, Australia.; [ | Edith Cowan University; Edith  |  nan | nan             | a collection; a game; a means; | a collection; a game; a means; | Caulfield, C (corresponding au | nan                            | Australia                      | Australia    | AUS                | AUS               | nan             | 2026-04-19 | WoS        | JUL 30     | a collection; a game; a means; | a collection; a game; a means; | Article                    | nan                            | nan      | WOS:000217343500007 | nan                            | nan                            | nan                            | V1Y2I | Donella H., 1972, Limits to Gr |     0 |  nan |  nan |  nan | nan                            | nan                            | nan                            | 1738-7906 | nan       | 7       | ithink; java; serious games; s | ithink; java; serious games; s | English    | nan                            |     0 | a research project; the value; | a collection; a game; a means; | a collection; a game; a means; | apache commons mathematics lib | system dynamics models; java   |        3 |      19 |     nan | nan                            | nan                                                                              | ED COWAN UNIV                                                                    | ED COWAN UNIV               |          7 |         43 |        49 | nan           | nan  | INT JOURNAL COMPUTER SCIENCE & | DAE-SANG OFFICE 301, SANGDO 5  | SEOUL            | J         | Caulfield C, 2011, INT J COMPUT SCI NETW SECUR, V1 |       20 | Caulfield C 2011      | Oceania               |  nan | nan                   | INTERNATIONAL JOURNAL OF COMPU | INT J COMPUT SCI NETW SECUR    | INT J COMPUT SCI NET |  nan | Australia and New Zealand      | Implementing System Dynamics M | implementing system dynamics m | implementing SYSTEM_DYNAMICS_M |    11 | Emerging Sources Citation Inde | advantage; apache; causal; col | advantage; apache; causal; col | Computer Science               |        0 |        1 |        0 |   2011 |
| In order to support the conser | in order to support the conser | in_order_to SUPPORT THE_CONSER | Vidzeme Univ Appl Sci, Informat Technol, Cesu St 4, LV-4101 Valmiera, Latvia; Un | nan      | Computer Science, Software Eng | Java, Oskars/AAH-4392-2021                                                       | simulation modeling; hydrologi | simulation modelling; hydrolog | simulation modeling; hydrologi | Java O           | Oskars Java; Marko Kohv; Asko  | Java O; Kohv M; Löhmus A       | Java O; Kohv M; Löhmus A       | [Java, Oskars] Vidzeme Univ Appl Sci, Informat Technol, Cesu St 4, LV-4101 Valmi | Vidzeme University of Applied  |  nan | nan             | active raised bogs; an importa | active raised bogs; an importa | Java, O (corresponding author) | nan                            | Estonia; Latvia                | Latvia       | EST; LVA           | LVA               | nan             | 2026-04-19 | WoS        | nan        | active; active raised bogs; an | active; active raised bogs; an | Article                    | 10.22364/bjmc.2020.8.3.01      | nan      | WOS:000576271600001 | oskars.java@va.lv; marko.kohv@ | University of Tartu            | This research was made under U | NY3CH | Aber JS, 2010, SMALL-FORMAT AE |     3 |  nan |  nan |  nan | nan                            | nan                            | nan                            | 2255-8942 | 2255-8950 | 3       | bog restoration; hydrological  | bog restoration; hydrological  | English    | nan                            |     0 | support; the conservation; bog | active raised bogs; an importa | a result; active raised bogs;  | bog ecosystem; case study; com | hydrological model; decision m |        3 |      14 |     nan | gold                           | Java, Oskars/0000-0002-2189-3798                                                 | UNIV TARTU; VIDZEME UNIV APPL SCI                                                | VIDZEME UNIV APPL SCI       |         12 |        379 |       390 | nan           | nan  | UNIV LATVIA                    | RAINA BULVARIS 19, RIGA, LV-15 | RIGA             | J         | Java O, 2020, BALT J MOD COMPUT, V8, P379, DOI 10. |       21 | Java O 2020           | Europe                |  nan | nan                   | BALTIC JOURNAL OF MODERN COMPU | BALT J MOD COMPUT              | BALT J MOD COMPUT    |  nan | Northern Europe                | Hydrological Model for Decisio | hydrological model for decisio | HYDROLOGICAL_MODEL for DECISIO |     8 | Emerging Sources Citation Inde | active; architect; area; areas | active; architect; area; areas | Computer Science               |        0 |        9 |        3 |   2020 |
